2026-06-05 00:22:57.789: [INFO] OnDoneLoading sync enabled: 0
2026-06-05 00:22:57.812: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-05 00:22:57.936: [INFO] VisibilityChanged: 0
2026-06-05 00:22:59.199: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-06-05 00:22:59.202: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-05 00:22:59.204: [INFO] Primary account changed.
2026-06-05 00:22:59.204: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-06-05 00:22:59.207: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-05 00:22:59.221: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-06-05 00:23:05.168: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.169: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.169: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.170: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.170: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.171: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.171: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.171: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.172: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.172: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.173: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.173: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.173: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.174: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.174: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.174: [INFO] BookmarkNodeMoved
2026-06-05 00:23:05.174: [INFO] BookmarkNodeMoved
2026-06-05 00:23:05.174: [INFO] ReorderChildren, Url: 0, IsFolder: 1, IsWorkspace: 0
2026-06-05 00:23:05.174: [INFO] Remove, DeletionOrigin: 19
2026-06-05 00:23:05.174: [INFO] BookmarkNodeRemoved, Url: 0, IsFolder: 1, IsWorkspace: 0
2026-06-05 00:23:05.175: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.175: [INFO] BookmarkNodeMoved
2026-06-05 00:23:05.175: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.175: [INFO] Remove, DeletionOrigin: 19
2026-06-05 00:23:05.175: [INFO] BookmarkNodeRemoved, Url: 1, IsFolder: 0, IsWorkspace: 0
2026-06-05 00:23:05.176: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.176: [INFO] Remove, DeletionOrigin: 19
2026-06-05 00:23:05.176: [INFO] BookmarkNodeRemoved, Url: 1, IsFolder: 0, IsWorkspace: 0
2026-06-05 00:23:05.176: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.176: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.177: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.177: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.177: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.178: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.178: [INFO] BookmarkNodeAdded, ABU: 0
2026-06-05 00:23:05.179: [INFO] BookmarkNodeAdded, ABU: 0
